"VI name";;"string type";;"Key";;"English";;"Russian"
"PROXY_display_messages_history.vi";;"Front Panel";;"refresh_messages.BoolText";;"REFRESH";;"(ий)REFRESH"
"PLC_PROXY_MAIN.vi";;"Block Diagram";;"Yes";;"Yes";;"(ий)Yes"
"PLC_PROXY_MAIN.vi";;"Block Diagram";;"No";;"No";;"(ий)No"
"PLC_PROXY_MAIN.vi";;"Block Diagram";;"Are you sure you want to exit the application?";;"Are you sure you want to exit the application?";;"(ий)Are you sure you want to exit the application?"
"PLC_PROXY_MAIN.vi";;"Block Diagram";;"NOT COMPILED!";;"NOT COMPILED!";;"(ий)NOT COMPILED!"
"PLC_PROXY_MAIN.vi";;"Block Diagram";;"PLC Proxy Application\nMSG Assembly Line\nA603A00\n\nAumatic sp. z o.o.\nPilsudskiego 22\n32-050 Skawina\nPOLAND\n\nCOMPILATION DATE: %s\nCOMPILATION TIME: %s\nJakub Longa, 2021\n\n+48 (12) 256-77-90\naumatic.com";;"PLC Proxy Application\nMSG Assembly Line\nA603A00\n\nAumatic sp. z o.o.\nPilsudskiego 22\n32-050 Skawina\nPOLAND\n\nCOMPILATION DATE: %s\nCOMPILATION TIME: %s\nJakub Longa, 2021\n\n+48 (12) 256-77-90\naumatic.com";;"(ий)PLC Proxy Application\nMSG Assembly Line\nA603A00\n\nAumatic sp. z o.o.\nPilsudskiego 22\n32-050 Skawina\nPOLAND\n\nCOMPILATION DATE: %s\nCOMPILATION TIME: %s\nJakub Longa, 2021\n\n+48 (12) 256-77-90\naumatic.com"
"PLC_PROXY_MAIN.vi";;"Block Diagram";;"PLC Proxy";;"PLC Proxy";;"(ий)PLC Proxy"
"PLC_PROXY_MAIN.vi";;"Block Diagram";;"Show";;"Show";;"(ий)Show"
"PLC_PROXY_MAIN.vi";;"Block Diagram";;"Minimized to tray";;"Minimized to tray";;"(ий)Minimized to tray"
"check_if_file_exists.vi";;"Block Diagram";;"Requested file (%s) does not exist.";;"Requested file (%s) does not exist.";;"(ий)Requested file (%s) does not exist."
"database_password_prompt.vi";;"Block Diagram";;"Cannot login to SQL Database using provided Username and Password.\nCheck if Database is online.\nCheck Username in application Configuration File, and/or enter correct\nPassword in the field below:";;"Cannot login to SQL Database using provided Username and Password.\nCheck if Database is online.\nCheck Username in application Configuration File, and/or enter correct\nPassword in the field below:";;"(ий)Cannot login to SQL Database using provided Username and Password.\nCheck if Database is online.\nCheck Username in application Configuration File, and/or enter correct\nPassword in the field below:"
"error_popup.vi";;"Block Diagram";;"F1 - Continue";;"F1 - Continue";;"(ий)F1 - Continue"
"error_popup.vi";;"Block Diagram";;"ERROR";;"ERROR";;"(ий)ERROR"
"FGV_PROXY_DIAGNOSTICS_message_history_buffer.vi";;"Block Diagram";;"PLC";;"PLC";;"(ий)PLC"
"FGV_PROXY_DIAGNOSTICS_message_history_buffer.vi";;"Block Diagram";;"PC";;"PC";;"(ий)PC"
"FGV_PROXY_DIAGNOSTICS_message_history_buffer.vi";;"Block Diagram";;"DB";;"DB";;"(ий)DB"
"FGV_PROXY_DIAGNOSTICS_message_history_display.vi";;"Block Diagram";;"Time";;"Time";;"(ий)Time"
"FGV_PROXY_DIAGNOSTICS_message_history_display.vi";;"Block Diagram";;"Station";;"Station";;"(ий)Station"
"FGV_PROXY_DIAGNOSTICS_message_history_display.vi";;"Block Diagram";;"From";;"From";;"(ий)From"
"FGV_PROXY_DIAGNOSTICS_message_history_display.vi";;"Block Diagram";;"To";;"To";;"(ий)To"
"FGV_PROXY_DIAGNOSTICS_message_history_display.vi";;"Block Diagram";;"Length";;"Length";;"(ий)Length"
"FGV_PROXY_DIAGNOSTICS_message_history_display.vi";;"Block Diagram";;"Message";;"Message";;"(ий)Message"
"FGV_PROXY_DIAGNOSTICS_records_display.vi";;"Block Diagram";;"PC IP";;"PC IP";;"(ий)PC IP"
"FGV_PROXY_DIAGNOSTICS_records_display.vi";;"Block Diagram";;"PC Port";;"PC Port";;"(ий)PC Port"
"FGV_PROXY_DIAGNOSTICS_records_display.vi";;"Block Diagram";;"PLC IP";;"PLC IP";;"(ий)PLC IP"
"FGV_PROXY_DIAGNOSTICS_records_display.vi";;"Block Diagram";;"PLC Port";;"PLC Port";;"(ий)PLC Port"
"FGV_PROXY_DIAGNOSTICS_records_display.vi";;"Block Diagram";;"PLC Status";;"PLC Status";;"(ий)PLC Status"
"FGV_PROXY_DIAGNOSTICS_records_display.vi";;"Block Diagram";;"SQL Status";;"SQL Status";;"(ий)SQL Status"
"FGV_PROXY_DIAGNOSTICS_records_display.vi";;"Block Diagram";;"Connected";;"Connected";;"(ий)Connected"
"FGV_PROXY_DIAGNOSTICS_records_display.vi";;"Block Diagram";;"Waiting";;"Waiting";;"(ий)Waiting"
"FGV_PROXY_DIAGNOSTICS_records_display.vi";;"Block Diagram";;"Error";;"Error";;"(ий)Error"
"FGV_PROXY_DIAGNOSTICS_single_message_display.vi";;"Block Diagram";;"COUNT";;"COUNT";;"(ий)COUNT"
"FGV_PROXY_DIAGNOSTICS_single_message_display.vi";;"Block Diagram";;"HEX";;"HEX";;"(ий)HEX"
"FGV_PROXY_DIAGNOSTICS_single_message_display.vi";;"Block Diagram";;"ALPHANUMERIC";;"ALPHANUMERIC";;"(ий)ALPHANUMERIC"
"FGV_PROXY_error_buffer.vi";;"Block Diagram";;"Number";;"Number";;"(ий)Number"
"FGV_PROXY_error_buffer.vi";;"Block Diagram";;"Description";;"Description";;"(ий)Description"
"prepare_inserts_for_save_results.vi";;"Block Diagram";;"Unexpected type: %s encountered while saving results for operation: %s\nPLC address is: %s";;"Unexpected type: %s encountered while saving results for operation: %s\nPLC address is: %s";;"(ий)Unexpected type: %s encountered while saving results for operation: %s\nPLC address is: %s"
"PROXY_config_keys_to_cluster.vi";;"Block Diagram";;"Config parameter: "%s" in section: "%s" not found.";;"Config parameter: "%s" in section: "%s" not found.";;"(ий)Config parameter: "%s" in section: "%s" not found."
"PROXY_config_keys_to_cluster.vi";;"Block Diagram";;"Unexpected value for boolean while reading config file. Following value is incorrect:\nParameter: %s\nValue: %s";;"Unexpected value for boolean while reading config file. Following value is incorrect:\nParameter: %s\nValue: %s";;"(ий)Unexpected value for boolean while reading config file. Following value is incorrect:\nParameter: %s\nValue: %s"
"PROXY_create_menu_bar.vi";;"Block Diagram";;"About";;"About";;"(ий)About"
"PROXY_create_menu_bar.vi";;"Block Diagram";;"Language - English";;"Language - English";;"(ий)Language - English"
"PROXY_create_menu_bar.vi";;"Block Diagram";;"Language - Russian";;"Language - Russian";;"(ий)Language - Russian"
"PROXY_create_menu_bar.vi";;"Block Diagram";;"Application";;"Application";;"(ий)Application"
"PROXY_create_menu_bar.vi";;"Block Diagram";;"Help";;"Help";;"(ий)Help"
"PROXY_create_menu_bar.vi";;"Block Diagram";;"Exit";;"Exit";;"(ий)Exit"
"ST_parse_start_operation_response.vi";;"Block Diagram";;"Unexpected Routing status: %s\nFor part: %s";;"Unexpected Routing status: %s\nFor part: %s";;"(ий)Unexpected Routing status: %s\nFor part: %s"
"ST_parse_start_operation_response.vi";;"Block Diagram";;"Unexpected Repeat Count status: %s\nFor part: %s";;"Unexpected Repeat Count status: %s\nFor part: %s";;"(ий)Unexpected Repeat Count status: %s\nFor part: %s"
"ST_parse_start_operation_response.vi";;"Block Diagram";;"Unexpected Repeat Count status: %s";;"Unexpected Repeat Count status: %s";;"(ий)Unexpected Repeat Count status: %s"
"ST_parse_start_operation_response.vi";;"Block Diagram";;"Unexpected Part Status: %s\nFor part: %s";;"Unexpected Part Status: %s\nFor part: %s";;"(ий)Unexpected Part Status: %s\nFor part: %s"
"STATION.vi";;"Block Diagram";;"Unknown command from PLC received. Command: %d";;"Unknown command from PLC received. Command: %d";;"(ий)Unknown command from PLC received. Command: %d"
